cbo,rfc,ce,npm,cam,bug
6,19,6,6,0.3666666670000001,False
1,17,1,12,0.46153846200000004,False
48,12,1,6,0.45833333299999995,False
4,4,2,4,1.0,False
2,8,1,4,0.666666667,False
8,14,5,3,0.5,True
2,6,1,5,0.46666666700000003,False
6,31,6,9,0.355555556,True
6,9,3,9,0.425925926,False
6,19,2,15,0.20952381,False
1,34,1,29,0.433333333,False
30,155,30,34,0.138314785,True
4,19,2,10,0.35,False
3,9,3,3,0.5,False
8,18,1,11,0.287878788,False
14,29,9,6,0.44,False
3,10,3,3,0.833333333,False
29,121,29,31,0.165966387,True
6,35,6,13,0.259615385,False
2,2,2,1,1.0,False
13,7,0,7,0.46428571399999996,False
6,15,1,9,0.36111111100000004,False
17,46,17,17,0.21176470600000002,True
4,15,0,8,0.34375,False
3,7,0,2,0.444444444,False
18,41,18,4,0.5,False
1,2,0,1,1.0,False
8,42,8,13,0.24175824199999998,False
3,5,3,3,0.5,True
2,2,2,1,1.0,False
3,1,1,1,1.0,False
5,14,2,8,0.40625,False
4,2,2,2,0.666666667,False
11,27,11,5,0.333333333,False
12,23,4,18,0.37037037,False
4,1,3,1,1.0,False
9,38,3,15,0.242647059,False
7,9,3,9,0.28571428600000004,False
11,26,11,4,0.5,False
5,11,1,3,0.5555555560000001,False
4,14,4,4,0.4375,False
74,63,3,55,0.11328671300000001,False
23,66,23,21,0.16558441599999998,False
27,28,3,28,0.228571429,False
1,10,1,4,0.4375,False
1,41,1,2,0.35,False
6,12,3,12,0.333333333,False
18,23,3,16,0.1796875,False
2,5,2,3,0.5,False
1,6,0,2,0.5,False
5,2,2,2,1.0,False
4,14,4,4,0.4375,False
4,25,0,21,0.210884354,False
3,0,1,0,0.0,False
13,74,13,23,0.204545455,True
19,56,19,11,0.173076923,True
4,21,2,14,0.47619047600000003,False
5,4,1,4,0.45,False
1,2,1,1,1.0,False
3,5,3,3,0.5,False
2,2,2,1,1.0,False
2,6,0,6,0.916666667,False
11,21,11,3,0.833333333,False
8,13,6,13,0.326923077,False
3,22,3,12,0.27777777800000003,False
5,10,5,2,0.75,False
2,5,1,2,0.75,False
6,3,0,3,0.666666667,False
6,24,4,4,0.4166666670000001,False
7,3,3,3,0.583333333,False
3,6,1,2,0.75,False
3,11,3,6,0.541666667,False
3,2,1,2,1.0,False
6,10,4,10,0.4,True
16,21,3,8,0.34375,True
1,11,1,6,0.428571429,False
25,92,25,27,0.140740741,False
8,33,3,26,0.132867133,False
26,99,26,22,0.12745098,False
22,92,14,17,0.303921569,False
6,22,5,3,0.5,False
8,33,8,8,0.375,False
5,15,1,8,0.34375,False
11,35,2,31,0.148387097,False
2,20,1,7,0.39285714299999996,False
3,5,3,3,0.5,True
5,10,5,2,0.75,False
2,3,2,2,0.75,False
4,7,2,7,0.35714285700000004,True
2,4,0,4,0.875,False
16,114,16,11,0.13968254,True
3,24,0,21,0.35714285700000004,False
4,3,1,3,1.0,False
21,56,21,14,0.3125,False
11,65,11,24,0.302222222,False
5,10,5,4,0.4375,False
12,14,12,2,0.75,False
7,28,7,9,0.317460317,False
3,5,0,5,0.533333333,False
1,0,0,0,0.0,False
5,24,2,16,0.1796875,False
7,16,3,5,0.333333333,False
8,6,5,6,0.452380952,False
11,17,9,4,0.5,False
2,19,2,3,0.5,False
5,24,0,23,0.295652174,False
3,1,1,1,1.0,False
0,2,0,1,1.0,False
4,13,1,5,0.533333333,False
1,23,1,18,0.473684211,False
6,14,1,13,0.35384615399999997,False
18,72,18,16,0.179487179,True
5,18,5,4,0.583333333,False
2,2,2,1,1.0,False
6,18,6,9,0.26984127,False
5,15,5,5,0.5,False
7,32,7,11,0.46153846200000004,False
2,2,2,1,1.0,False
3,0,1,0,0.0,False
3,14,2,8,0.40625,False
4,12,1,7,0.571428571,False
3,0,1,0,0.0,False
2,11,2,4,0.4375,False
2,2,0,2,0.75,False
7,23,7,6,0.38888888899999996,False
9,33,2,24,0.182291667,False
6,44,6,11,0.545454545,False
1,2,0,1,1.0,False
7,16,7,6,0.3666666670000001,False
4,15,0,11,0.290909091,False
1,8,0,2,0.5,False
22,110,22,40,0.131578947,False
8,12,8,4,0.875,True
1,8,0,4,0.666666667,False
2,12,1,3,0.5555555560000001,False
13,30,13,2,0.46666666700000003,False
11,46,11,18,0.194444444,False
4,6,4,4,0.4,True
3,10,3,3,0.5,False
19,68,19,16,0.148606811,False
4,4,1,3,0.666666667,False
36,166,36,37,0.126388889,False
9,20,5,20,0.407142857,False
4,10,4,3,0.833333333,False
15,21,1,14,0.28571428600000004,False
11,33,11,7,0.25,False
1,11,0,7,0.35714285700000004,False
6,7,3,7,0.46428571399999996,True
19,36,19,9,0.314814815,True
2,19,2,15,0.20952381,False
4,3,2,3,0.666666667,False
2,1,1,1,1.0,False
2,26,2,7,0.452380952,False
5,19,1,13,0.23076923100000002,False
24,13,5,13,0.32967033,False
9,29,8,9,0.4318181820000001,False
4,21,2,5,0.45,False
6,2,2,2,1.0,False
2,30,2,9,0.363636364,False
3,1,1,1,1.0,False
24,91,24,19,0.16091954,True
3,8,1,4,0.666666667,False
4,33,4,12,0.198529412,False
6,1,3,1,1.0,False
9,26,3,12,0.27777777800000003,False
10,11,7,11,0.33766233799999995,True
27,25,4,17,0.245098039,False
3,18,3,8,0.4375,False
9,16,6,5,0.26666666699999997,False
19,79,19,13,0.265625,True
6,56,5,17,0.30909090899999997,False
9,5,4,5,0.433333333,False
18,6,0,5,0.8,False
5,29,2,23,0.204968944,True
2,11,0,11,0.954545455,False
17,43,4,36,0.122685185,False
4,20,4,7,0.625,False
3,5,3,2,0.75,False
1,6,0,5,0.7,False
4,6,1,5,0.6,False
5,4,3,4,0.55,False
3,34,1,5,0.228571429,False
4,0,1,0,0.0,False
8,11,8,2,1.0,False
3,3,1,3,1.0,True
4,7,0,3,0.5,False
6,22,6,4,0.4375,False
0,10,0,9,0.481481481,False
3,0,1,0,0.0,False
2,0,1,0,0.0,False
6,18,1,17,0.294117647,False
3,21,3,5,0.4,False
2,10,2,4,0.4375,False
2,2,2,1,1.0,False
5,6,3,6,0.7777777779999999,False
3,8,1,4,0.666666667,False
13,20,6,20,0.32857142899999997,True
6,9,4,1,0.666666667,False
7,16,2,15,0.24444444399999998,False
2,3,2,2,1.0,False
4,19,2,4,0.583333333,False
1,2,1,1,1.0,False
9,2,0,1,1.0,False
6,1,0,1,1.0,False
6,20,1,19,0.294736842,False
3,15,0,14,0.33928571399999996,False
6,15,3,4,0.5,False
8,10,2,10,0.58,False
3,0,1,0,0.0,False
2,2,2,1,1.0,False
8,57,8,18,0.27777777800000003,False
7,29,7,8,0.45,False
5,21,1,14,0.28571428600000004,True
19,36,12,11,0.214285714,False
4,14,4,4,0.4375,False
6,34,6,11,0.238636364,False
8,29,8,9,0.314814815,False
1,8,0,7,0.35714285700000004,False
2,8,1,4,0.666666667,False
55,128,32,39,0.18560606100000002,False
1,2,0,1,1.0,False
2,10,2,2,0.666666667,False
4,4,2,4,0.625,False
6,4,2,4,1.0,False
16,53,16,16,0.176870748,True
5,19,5,6,0.611111111,False
2,2,2,1,1.0,False
4,8,2,8,0.541666667,False
2,7,2,3,0.5555555560000001,False
30,93,30,16,0.13888888900000002,True
2,8,0,4,0.666666667,False
4,4,1,3,0.666666667,False
7,15,1,14,0.342857143,False
2,0,1,0,0.0,False
