wmc,npm,loc,bug
9,9,44,False
9,9,9,False
2,1,123,False
5,5,24,False
0,0,8,False
7,7,58,False
12,12,100,False
0,0,4,False
16,16,105,False
4,4,18,False
10,10,68,True
8,8,47,False
15,15,74,False
0,0,7,False
3,2,21,False
2,2,2,False
4,4,38,False
3,3,16,False
18,2,296,False
4,4,38,False
2,2,8,False
1,1,4,False
7,7,58,False
1,1,4,False
11,11,54,False
14,14,209,False
0,0,6,False
2,2,10,False
3,3,14,False
1,1,4,False
4,4,30,False
7,7,39,False
21,21,181,True
1,1,4,False
8,8,88,False
8,8,47,False
6,6,34,False
25,25,201,False
4,4,28,False
9,9,51,False
6,6,83,False
0,0,4,False
11,11,95,False
7,7,42,False
2,2,10,False
0,0,4,False
0,0,4,False
4,4,39,False
29,29,348,True
5,5,44,False
4,4,23,False
19,19,162,True
4,4,23,False
8,8,47,False
9,9,55,False
7,7,67,True
9,9,68,False
4,4,38,False
3,3,111,False
14,14,126,False
2,2,2,False
5,3,45,False
0,0,3,False
4,4,22,False
