rfc,moa,bug
16,0,False
8,0,False
55,0,True
36,0,False
29,0,False
6,0,False
13,1,False
125,6,False
11,0,False
269,2,False
7,0,False
15,0,False
14,1,False
26,0,False
15,0,False
8,0,False
9,0,False
56,3,False
36,0,False
3,0,False
114,5,False
5,0,False
12,0,False
6,0,False
17,0,False
2,1,False
6,0,False
25,0,False
116,0,False
4,0,False
4,2,False
22,0,False
27,1,False
20,1,False
156,5,False
57,1,False
163,5,False
73,0,False
43,0,False
13,0,False
63,1,False
105,3,False
54,0,False
60,1,False
56,2,False
47,1,False
67,0,False
55,1,False
5,1,False
35,0,False
4,2,False
41,0,False
7,0,False
10,0,False
3,1,False
24,1,False
35,0,False
2,0,False
31,1,False
10,0,False
99,3,False
43,1,False
37,0,False
72,1,False
20,0,False
52,1,False
67,1,False
22,0,False
4,0,False
8,3,False
3,0,False
55,0,False
2,0,False
44,1,False
22,0,False
3,0,False
82,0,False
16,1,False
13,0,False
5,0,False
16,0,False
2,0,False
181,4,False
38,0,False
37,0,False
8,0,False
120,0,False
4,0,False
56,0,False
33,0,False
57,10,False
107,4,False
48,0,False
72,6,False
1,0,False
443,8,False
20,0,False
6,0,False
17,0,False
48,0,False
2,0,False
39,0,False
94,0,False
8,0,False
16,0,False
17,2,False
26,0,False
29,0,False
31,0,False
156,4,False
47,0,False
46,0,False
5,0,False
70,11,False
38,0,False
43,1,False
2,0,False
6,1,False
4,0,False
70,1,False
13,0,False
2,0,False
111,1,False
1,0,False
73,5,False
3,0,False
24,2,False
10,0,False
24,0,False
4,0,False
1,0,False
6,0,False
25,1,False
2,0,False
4,0,False
9,0,False
21,0,False
1,0,False
36,8,False
23,1,False
4,0,False
24,0,False
26,1,False
2,0,False
41,3,False
15,0,False
76,4,False
47,1,False
38,1,False
4,0,False
26,0,False
17,0,False
9,0,False
39,3,False
187,1,False
73,4,False
10,4,False
4,0,False
1,0,False
44,0,False
540,12,False
28,1,False
5,0,False
69,2,False
14,0,False
41,9,False
12,0,False
42,10,False
47,1,False
10,1,False
10,0,False
4,0,False
12,0,False
30,4,False
12,0,False
53,13,False
38,4,False
72,9,False
25,2,False
65,4,False
10,0,False
9,0,False
26,1,False
87,0,False
1,0,False
21,0,False
4,0,False
30,3,False
4,0,False
29,0,False
23,0,False
51,0,False
39,0,False
17,0,False
13,0,False
34,2,False
29,0,False
7,0,False
180,1,False
2,0,False
33,0,False
13,4,False
21,0,False
64,0,False
4,0,True
21,0,False
64,0,False
66,3,False
56,1,False
19,0,False
85,1,False
19,0,False
23,1,False
33,1,False
31,0,False
21,0,False
12,0,False
57,2,False
96,2,False
72,4,False
6,0,False
115,4,True
6,0,False
40,1,False
6,0,False
67,1,False
20,0,False
20,0,False
4,1,False
13,0,False
57,0,False
60,0,False
50,0,False
6,0,False
29,2,False
14,0,False
2,0,False
87,1,False
6,0,False
20,0,False
29,1,False
25,0,False
47,3,False
11,1,False
17,0,False
28,0,False
15,0,False
18,0,False
52,1,False
21,0,False
2,0,False
85,2,False
47,0,False
25,0,False
5,0,False
10,0,False
68,1,False
30,3,False
5,0,False
11,0,False
12,0,False
48,2,False
108,10,False
75,3,False
50,1,False
28,3,False
55,1,False
57,0,False
279,8,True
31,0,False
2,3,False
339,12,True
24,1,False
71,0,False
18,0,False
9,0,False
4,0,False
32,1,False
12,0,False
1,0,False
25,4,False
1,0,False
1,0,False
4,0,False
13,0,False
37,0,False
46,3,False
2,0,False
2,0,False
90,1,False
23,0,False
69,0,False
6,0,False
77,5,False
291,7,False
58,1,False
20,3,False
39,0,False
84,1,False
58,3,False
75,3,False
228,1,False
13,1,False
23,0,False
244,8,True
91,1,False
9,0,False
21,0,False
121,5,False
34,0,False
11,0,False
37,2,False
32,2,False
20,0,False
12,0,False
2,0,False
22,0,False
35,0,False
12,0,False
21,0,False
65,3,False
30,3,False
19,0,False
69,4,False
14,1,False
5,0,False
17,0,False
71,1,False
40,1,False
74,1,False
128,4,False
9,1,False
44,1,False
10,0,False
88,2,False
64,0,False
27,1,False
14,0,False
33,0,False
39,1,False
45,5,False
16,1,False
86,3,False
18,1,False
3,0,False
17,0,False
5,0,False
1,0,False
78,2,False
4,0,False
57,2,False
14,0,False
12,3,False
63,0,False
4,0,True
12,2,False
132,6,True
45,0,False
56,1,False
37,1,False
2,0,False
31,1,False
25,0,False
19,0,False
26,2,False
32,1,False
10,0,False
510,13,False
4,0,True
38,2,False
8,0,False
15,0,False
101,1,False
62,1,False
4,0,False
12,1,False
97,0,False
190,5,False
108,7,False
13,0,False
61,1,True
9,0,False
18,0,False
79,1,False
25,0,False
55,0,False
2,0,False
90,3,False
59,0,False
3,0,False
1,0,False
110,3,False
32,0,False
117,1,False
34,1,False
5,0,False
14,0,False
1,0,False
25,0,False
27,0,False
44,0,False
19,1,False
18,0,False
25,0,False
17,0,False
19,2,False
6,0,False
69,3,False
12,0,False
29,0,False
5,0,False
52,1,False
40,0,False
28,0,False
28,1,False
29,0,False
38,0,False
33,0,False
48,0,False
4,0,False
35,0,False
3,0,False
4,0,True
12,0,False
16,0,False
60,1,False
76,2,False
2,0,False
3,0,False
38,1,False
37,1,False
98,0,False
30,5,False
29,2,False
23,1,False
1,0,False
87,1,False
29,0,False
1,0,False
47,1,False
9,0,False
3,0,False
0,0,False
56,2,False
81,3,False
15,0,False
23,3,False
29,1,False
27,2,False
53,1,False
14,1,False
19,2,False
2,0,False
144,2,False
3,0,False
58,1,False
8,0,False
106,3,False
6,0,False
29,0,False
7,0,False
5,0,False
86,3,False
1,0,False
7,0,False
26,0,False
8,0,False
10,1,False
4,0,False
32,0,False
1,0,False
2,0,False
131,1,False
139,5,False
25,2,False
16,0,False
6,0,False
19,1,False
2,0,False
75,3,False
21,0,False
98,3,False
64,1,False
1,0,False
2,0,False
21,0,False
8,0,False
54,1,False
9,0,False
5,0,False
4,0,False
33,2,False
