loc,mfa,amc,avg_cc,bug
25,0.666666667,11.5,1.0,False
176,0.0,14.72727273,2.0,False
262,0.9936170209999999,63.75,1.0,True
5,0.0,0.0,0.0,False
347,0.0,41.625,0.875,True
123,0.0,29.75,3.0,True
512,0.979035639,45.27272727,2.6364,True
57,0.0,55.0,0.0,False
5,0.0,0.0,0.0,False
75,0.0,14.0,2.2,False
247,0.0,34.0,2.5714,True
141,0.0,22.16666667,1.1667,True
210,0.0,33.0,1.1667,False
630,0.0,205.66666669999998,0.6667,True
50,0.666666667,24.0,1.5,False
155,0.0,24.5,1.1667,False
376,0.0,61.66666667,4.5,True
3,0.0,0.0,1.0,False
515,0.998095238,254.5,1.0,True
34,0.0,16.0,0.5,False
155,0.0,24.5,1.1667,False
99,0.695652174,10.875,1.375,False
30,0.666666667,14.0,0.5,False
29,0.666666667,13.5,0.5,False
68,0.9090909090000001,33.0,1.5,False
251,0.0,22.9,2.4,False
174,0.9957356079999999,56.66666667,0.6667,True
