wmc,dit,lcom,ca,ce,npm,mfa,bug
6,1,15,2,2,6,0.0,False
9,1,28,5,0,9,0.0,False
9,1,28,7,0,9,0.0,False
3,1,1,0,7,3,0.0,True
6,8,3,0,11,5,0.955357143,True
9,1,0,0,5,9,0.0,False
6,8,3,0,8,6,0.955357143,True
5,8,4,0,10,4,0.9639639640000001,True
7,1,21,7,3,7,0.0,False
24,1,258,8,3,24,0.0,False
7,4,19,0,12,7,0.7142857140000001,True
17,1,120,7,0,17,0.0,False
3,1,3,0,3,3,0.0,False
5,1,6,5,0,5,0.0,True
7,8,9,0,11,7,0.946902655,True
13,1,66,6,0,13,0.0,False
4,1,0,0,7,4,0.0,False
2,1,1,0,4,2,0.0,False
4,8,0,0,13,4,0.972727273,True
4,4,6,0,11,4,0.833333333,True
3,1,3,2,3,3,0.0,True
4,8,0,0,7,4,0.972727273,True
6,1,0,0,5,6,0.0,True
3,1,3,5,3,3,0.0,True
3,1,3,0,3,3,0.0,True
