rfc,lcom3,cam,bug
27,0.7,1.0,False
11,0.666666667,0.533333333,False
19,0.0,0.46666666700000003,False
17,2.0,0.5,False
49,0.863095238,0.355555556,True
40,0.791666667,0.182222222,False
72,0.871352785,0.34444444399999996,True
32,0.880681818,0.229813665,True
93,0.878125,0.218181818,True
44,0.761904762,0.5,True
12,0.8,0.545454545,False
42,0.875362319,1.0,False
2,2.0,1.0,False
14,0.6190476189999999,0.45833333299999995,False
2,2.0,1.0,True
44,0.7111111109999999,0.31578947399999996,True
36,0.765151515,0.46153846200000004,False
80,0.8340000000000001,0.23076923100000002,True
17,0.836363636,0.375,False
14,0.6190476189999999,0.45833333299999995,False
28,1.25,0.35,True
95,0.913647343,0.23758865199999998,True
4,2.0,0.75,False
56,0.8193277309999999,0.27777777800000003,True
63,0.827777778,0.23157894699999998,True
6,0.0,0.583333333,False
11,2.0,0.515151515,False
67,0.8575851390000001,0.23,True
18,0.0,0.375,False
